Platform,Tier,Task ID,Task Name,Category,Description,Premium Task
"Hyper-V","Pro","hyperv-export-inventory","Export VM Inventory","Reporting","Export inventory of all Hyper-V VMs to CSV","Yes"
"Hyper-V","Pro","hyperv-clone-vm","Clone Virtual Machine","VM Lifecycle","Create an exact copy of an existing VM","Yes"
"Hyper-V","Pro","hyperv-configure-vm-memory","Configure Dynamic Memory","VM Lifecycle","Configure dynamic or static memory settings for a VM","Yes"
"Hyper-V","Pro","hyperv-configure-vhd-qos","Configure Storage QoS","Storage","Set IOPS limits and QoS policies for VM virtual disks","Yes"
"Hyper-V","Pro","hyperv-expand-vhd","Expand Virtual Hard Disk","Storage","Increase the size of a virtual hard disk","Yes"
"Hyper-V","Pro","hyperv-optimize-vhd","Optimize and Compact VHD","Storage","Compact a virtual hard disk to reclaim unused space","Yes"
"Hyper-V","Pro","hyperv-new-vswitch","Create Virtual Switch","Networking","Create external, internal, or private virtual switch","Yes"
"Hyper-V","Pro","hyperv-configure-vlan","Configure VM VLAN Tagging","Networking","Set VLAN ID for VM network adapter","Yes"
"Hyper-V","Pro","hyperv-create-replica","Configure VM Replication","Backup & Recovery","Set up Hyper-V Replica for disaster recovery","Yes"
"Hyper-V","Pro","hyperv-apply-vm-snapshot","Apply VM Checkpoint","Checkpoints","Restore a VM to a previous checkpoint/snapshot state","Yes"
"Hyper-V","Pro","hyperv-remove-old-checkpoints","Remove Old Checkpoints","Checkpoints","Delete checkpoints older than specified days to free disk space","Yes"
"Hyper-V","Pro","hyperv-measure-vm-performance","Measure VM Performance Metrics","Reporting","Collect CPU, memory, and disk performance metrics for VMs","Yes"
"Hyper-V","Pro","hyperv-bulk-create-vms","Bulk Create VMs from CSV","VM Lifecycle","Create multiple VMs from a CSV file specification","Yes"
"Hyper-V","Pro","hyperv-configure-integration-services","Configure Integration Services","VM Lifecycle","Enable or disable specific integration services for a VM","Yes"
"Hyper-V","Pro","hyperv-export-vm-configs","Export VM Configurations","Reporting","Export all VM settings and configurations to JSON","Yes"
"Hyper-V","Pro","hyperv-configure-enhanced-session","Enable Enhanced Session Mode","Host Configuration","Enable enhanced session mode for better VM connectivity","Yes"
"Hyper-V","Pro","hyperv-configure-numa","Configure VM NUMA Topology","Performance","Configure NUMA (Non-Uniform Memory Access) settings for high-performance VMs","Yes"
"Hyper-V","Pro","hyperv-configure-resource-metering","Enable Resource Metering","Reporting","Enable resource usage tracking for billing and monitoring","Yes"
"Hyper-V","Pro","hyperv-audit-vm-security","Audit VM Security Settings","Reporting","Generate security audit report for all VMs","Yes"
"Hyper-V","Pro","hyperv-configure-automatic-actions","Configure VM Automatic Start/Stop","VM Lifecycle","Set automatic startup and shutdown actions for VMs","Yes"
"Hyper-V","Pro","hyperv-migrate-vm-storage","Migrate VM Storage","Storage","Move VM virtual hard disks to a different location","Yes"
"Hyper-V","Pro","hyperv-export-config","Export VM Configuration","Reporting","Backup VM settings to XML","Yes"
"Hyper-V","Pro","hyperv-configure-replication","Configure VM Replication","High Availability","Setup Hyper-V Replica for disaster recovery","Yes"
"Hyper-V","Pro","hyperv-config-live-migration","Configure Live Migration Settings","Common Admin Tasks","Set concurrent migrations, authentication, performance options","Yes"
"Hyper-V","Pro","hyperv-manage-vswitch-advanced","Manage Virtual Switches (Advanced)","Common Admin Tasks","Create external, internal, private switches with VLAN tags","Yes"
"Hyper-V","Pro","hyperv-config-replica","Configure Hyper-V Replica","Common Admin Tasks","Set up VM replication for disaster recovery","Yes"
"Hyper-V","Pro","hyperv-manage-checkpoints","Manage VM Checkpoints and Snapshots","Common Admin Tasks","Create, apply, delete checkpoints","Yes"
"Hyper-V","Pro","hyperv-config-resource-metering","Configure Resource Metering","Common Admin Tasks","Enable metering, collect CPU/memory/disk usage","Yes"
"Hyper-V","Pro","hyperv-manage-network-adapters","Manage VM Network Adapters","Common Admin Tasks","Add, remove, configure virtual NICs with advanced features","Yes"
"Hyper-V","Pro","hyperv-config-host-settings","Configure Hyper-V Host Settings","Common Admin Tasks","Memory, storage, NUMA spanning, enhanced session mode","Yes"
"Hyper-V","Pro","hyperv-export-performance-reports","Export VM Performance Reports","Common Admin Tasks","Export VM utilization, resource consumption data","Yes"
"Intune","Pro","intune-sync-autopilot","Sync Autopilot Devices","Autopilot","Force a sync of Autopilot device registrations","Yes"
"Intune","Pro","intune-export-device-inventory","Export Device Inventory","Device Management","Export comprehensive inventory of all Intune-managed devices to CSV","Yes"
"Intune","Pro","intune-export-compliance-report","Export Compliance Report","Compliance","Export device compliance status report to CSV","Yes"
"Intune","Pro","intune-create-update-ring","Create Windows Update Ring","Updates","Create a new Windows Update deployment ring","Yes"
"Intune","Pro","intune-export-app-status","Export App Inventory","App Management","Export application inventory (name, type, publisher) to CSV","Yes"
"Intune","Pro","intune-retire-device","Retire Intune Device","Device Management","Retire a device from Intune management","Yes"
"Intune","Pro","intune-wipe-device","Wipe Managed Device","Device Management","Perform a full or selective wipe on a managed device","Yes"
"Intune","Pro","intune-sync-device","Sync Device with Intune","Device Management","Force immediate synchronization of a device with Intune","Yes"
"Intune","Pro","intune-rename-device","Rename Managed Device","Device Management","Change the name of an Intune-managed device","Yes"
"Intune","Pro","intune-create-device-config-profile","Create Device Configuration Profile","Configuration Profiles","Create a Windows 10 device configuration profile","Yes"
"Intune","Pro","intune-assign-config-profile","Assign Configuration Profile to Group","Configuration Profiles","Assign a device configuration profile to an Azure AD group","Yes"
"Intune","Pro","intune-create-compliance-policy","Create Compliance Policy","Compliance","Create a Windows 10 device compliance policy","Yes"
"Intune","Pro","intune-get-noncompliant-devices","List Non-Compliant Devices","Compliance","Generate report of devices not meeting compliance policies","Yes"
"Intune","Pro","intune-create-app-protection-policy","Create App Protection Policy","App Management","Create a mobile app protection policy for iOS or Android","Yes"
"Intune","Pro","intune-deploy-win32-app","Deploy Win32 App","App Management","Upload and deploy a Win32 application package","Yes"
"Intune","Pro","intune-create-autopilot-profile","Create Autopilot Deployment Profile","Autopilot","Create Windows Autopilot deployment profile","Yes"
"Intune","Pro","intune-import-autopilot-devices","Import Autopilot Devices from CSV","Autopilot","Bulk import Windows Autopilot device hardware hashes from CSV","Yes"
"Intune","Pro","intune-delete-autopilot-device","Delete Autopilot Device","Autopilot","Remove a device from Windows Autopilot","Yes"
"Intune","Pro","intune-export-update-compliance","Export Windows Update Compliance","Updates","Export report of Windows update compliance status","Yes"
"Intune","Pro","intune-create-powershell-script","Upload PowerShell Script","Scripts & Remediation","Upload and deploy a PowerShell script to managed devices","Yes"
"Intune","Pro","intune-create-notification","Send Notification to Devices","Communication","Send a company portal notification to managed devices","Yes"
"Intune","Pro","intune-export-enrolled-devices","Export Device Enrollment Report","Reporting","Export detailed enrollment data for all managed devices","Yes"
"Intune","Pro","intune-reset-passcode","Reset Device Passcode","Device Management","Remotely reset the passcode on a managed mobile device","Yes"
"Intune","Pro","intune-locate-device","Locate Lost Device","Device Management","Request GPS location of a managed mobile device","Yes"
"Intune","Pro","intune-enable-lost-mode","Enable Lost Mode (iOS)","Device Management","Enable lost mode on a managed iOS device with custom message","Yes"
"Intune","Pro","intune-export-policy-assignments","Export Policy Assignments","Reporting","Export comprehensive report of all policy and profile assignments","Yes"
"Intune","Pro","intune-bulk-assign-apps","Bulk Assign Apps to Groups","App Management","Assign multiple applications to multiple groups in one operation","Yes"
"Intune","Pro","intune-create-conditional-access-policy","Create Conditional Access Policy","Security","Create a conditional access policy requiring device compliance","Yes"
"Intune","Pro","intune-export-device-health","Export Device Health Report","Reporting","Export comprehensive device health status including battery, storage, and performance","Yes"
"Intune","Pro","intune-export-inventory","Export Device Inventory","Reporting","Complete device hardware report","Yes"
"Intune","Pro","intune-export-noncompliant","Export Non-Compliant Devices Report","Compliance","List all devices failing compliance policies","Yes"
"Intune","Pro","intune-premium-deploy-win32-apps","Deploy Win32 Apps to Devices","Common Admin Tasks","Create and deploy Win32 app packages with detection rules","Yes"
"Intune","Pro","intune-premium-configure-autopilot-profiles","Configure Autopilot Deployment Profiles","Common Admin Tasks","Set up Windows Autopilot profiles and assignments","Yes"
"Intune","Pro","intune-premium-manage-mam-policies","Manage App Protection Policies (MAM)","Common Admin Tasks","Create/configure MAM policies for iOS/Android","Yes"
"Intune","Pro","intune-premium-configure-update-rings","Configure Update Rings for Windows","Common Admin Tasks","Windows Update deployment rings with deferral settings","Yes"
"Intune","Pro","intune-premium-enrollment-restrictions","Manage iOS/Android Enrollment Restrictions","Common Admin Tasks","Device type/platform enrollment restrictions","Yes"
"Intune","Pro","intune-premium-deploy-config-profiles","Deploy Configuration Profiles to Devices","Common Admin Tasks","Deploy Wi-Fi, VPN, email, certificate profiles","Yes"
"Intune","Pro","intune-premium-conditional-launch","Configure Conditional Launch Settings","Common Admin Tasks","App protection conditional launch requirements","Yes"
"Intune","Pro","intune-premium-bitlocker-policies","Manage BitLocker Encryption Policies","Common Admin Tasks","Configure and enforce BitLocker policies","Yes"
"Intune","Pro","intune-premium-deploy-powershell-scripts","Deploy PowerShell Scripts to Devices","Common Admin Tasks","Upload and assign PowerShell scripts to endpoints","Yes"
"Intune","Pro","intune-premium-windows-hello","Configure Windows Hello for Business","Common Admin Tasks","WHfB policies and deployment settings","Yes"
"Intune","Pro","intune-premium-app-configuration","Manage App Configuration Policies","Common Admin Tasks","Configure managed app settings for iOS/Android","Yes"
"Intune","Pro","intune-premium-export-device-inventory","Export Device Inventory Report","Common Admin Tasks","Export comprehensive device inventory with filters","Yes"
"Intune","Pro","intune-premium-endpoint-security","Configure Endpoint Security Policies","Common Admin Tasks","Antivirus, firewall, EDR policies","Yes"
"Intune","Pro","intune-premium-apns-certificate","Manage Apple Push Notification Certificate","Common Admin Tasks","Renew/upload APNs certificate for iOS","Yes"
"Intune","Pro","intune-premium-remote-actions","Configure Remote Actions and Wipe","Common Admin Tasks","Execute remote lock, wipe, retire on devices","Yes"
"Power Platform","Pro","pp-export-environments","Export Environments List","Environment Management","Export list of all Power Platform environments to CSV","Yes"
"Power Platform","Pro","pp-export-apps","Export Power Apps Inventory","Apps & Flows","Export list of all Power Apps to CSV","Yes"
"Power Platform","Pro","pp-export-flows","Export Power Automate Flows","Apps & Flows","Export list of all Power Automate flows to CSV","Yes"
"Power Platform","Pro","pp-export-connectors","Export Custom Connectors","Connectors","Export list of custom connectors to CSV","Yes"
"Power Platform","Pro","pp-export-dlp-policies","Export DLP Policies","Governance","Export Data Loss Prevention policies to CSV","Yes"
"Power Platform","Pro","pp-create-env","Create Power Platform Environment","Environment Management","Create a new Power Platform environment","Yes"
"Power Platform","Pro","pp-delete-env","Delete Power Platform Environment","Environment Management","Permanently delete a Power Platform environment","Yes"
"Power Platform","Pro","pp-backup-env","Backup Power Platform Environment","Environment Management","Create a backup of a Power Platform environment","Yes"
"Power Platform","Pro","pp-restore-env","Restore Environment from Backup","Environment Management","Restore a Power Platform environment from a previous backup","Yes"
"Power Platform","Pro","pp-copy-env","Copy Power Platform Environment","Environment Management","Copy an environment to create a duplicate","Yes"
"Power Platform","Pro","pp-list-apps","List Power Apps in Environment","Apps & Flows","List all Power Apps in a specific environment","Yes"
"Power Platform","Pro","pp-delete-app","Delete Power App","Apps & Flows","Permanently delete a Power App","Yes"
"Power Platform","Pro","pp-share-app","Share Power App with Users","Apps & Flows","Grant users access to a Power App","Yes"
"Power Platform","Pro","pp-list-flows","List Power Automate Flows","Apps & Flows","List all Power Automate flows in an environment","Yes"
"Power Platform","Pro","pp-disable-flow","Disable Power Automate Flow","Apps & Flows","Turn off a Power Automate flow","Yes"
"Power Platform","Pro","pp-enable-flow","Enable Power Automate Flow","Apps & Flows","Turn on a Power Automate flow","Yes"
"Power Platform","Pro","pp-delete-flow","Delete Power Automate Flow","Apps & Flows","Permanently delete a Power Automate flow","Yes"
"Power Platform","Pro","pp-list-connectors","List Custom Connectors","Connectors","List all custom connectors in an environment","Yes"
"Power Platform","Pro","pp-delete-connector","Delete Custom Connector","Connectors","Permanently delete a custom connector","Yes"
"Power Platform","Pro","pp-block-connector","Block Connector Tenant-Wide","Connectors","Block a connector in DLP policy to prevent usage","Yes"
"Power Platform","Pro","pp-tenant-settings","Configure Tenant Settings","Governance","Update Power Platform tenant-level configuration","Yes"
"Power Platform","Pro","pp-export-users","Export Environment Users & Permissions","Reporting & Analytics","Export all users with environment access and their roles","Yes"
"Power Platform","Pro","pp-set-env-security","Set Environment Security Role","Governance","Assign security role to user in environment","Yes"
"Power Platform","Pro","pp-capacity-report","Generate Capacity Usage Report","Reporting & Analytics","Report on storage and API capacity consumption","Yes"
"Power Platform","Pro","pp-create-dlp","Create DLP Policy","Governance","Create a new Data Loss Prevention policy","Yes"
"Power Platform","Pro","pp-delete-dlp","Delete DLP Policy","Governance","Permanently delete a Data Loss Prevention policy","Yes"
"Power Platform","Pro","pp-flow-run-history","Export Flow Run History","Reporting & Analytics","Export execution history for a Power Automate flow","Yes"
"Power Platform","Pro","pp-orphaned-resources","Find Orphaned Resources","Reporting & Analytics","Identify apps and flows without valid owners","Yes"
"Power Platform","Pro","pp-usage-analytics","Export Usage Analytics","Reporting & Analytics","Export Power Platform usage metrics and analytics","Yes"
"Power Platform","Pro","pp-solution-export","Export Solution","Solutions","Export a Power Platform solution package","Yes"
"Power Platform","Pro","pp-create-dataverse-table","Create and Manage Dataverse Tables","Common Admin Tasks","Create custom tables, columns, relationships","Yes"
"Power Platform","Pro","pp-manage-flows","Manage Power Automate Cloud Flows","Common Admin Tasks","Create, enable, disable, run flows","Yes"
"Power Platform","Pro","pp-configure-dlp","Configure DLP Policies","Common Admin Tasks","Data loss prevention policies for connectors","Yes"
"Power Platform","Pro","pp-manage-environments","Manage Power Apps Environments","Common Admin Tasks","Create, delete, backup/restore environments","Yes"
"Power Platform","Pro","pp-configure-security-roles","Configure Environment Security Roles","Common Admin Tasks","Assign security roles to users","Yes"
"Power Platform","Pro","pp-export-powerbi-reports","Export Power BI Reports and Datasets","Common Admin Tasks","Export reports, datasets for backup","Yes"
"Power Platform","Pro","pp-manage-chatbots","Manage Power Virtual Agents Bots","Common Admin Tasks","Create, configure, publish chatbots","Yes"
"Power Platform","Pro","pp-audit-usage","Audit Power Platform Usage","Common Admin Tasks","Export usage analytics, connector usage","Yes"
"Microsoft Teams","Pro","teams-export-teams-list","Export Teams List","Team Management","Export list of all Microsoft Teams to CSV","Yes"
"Microsoft Teams","Pro","teams-export-members","Export Team Members","Team Management","Export members of a specific team to CSV","Yes"
"Microsoft Teams","Pro","teams-export-channels","Export Team Channels","Channel Management","Export channels from a specific team to CSV","Yes"
"Microsoft Teams","Pro","teams-export-guest-users","Export Guest Users in Teams","Reporting","Export list of all guest users across all teams to CSV","Yes"
"Microsoft Teams","Pro","teams-export-policies","Export Teams Policies","Policy Management","Export Teams messaging and meeting policies to CSV","Yes"
"Microsoft Teams","Pro","teams-create-team","Create New Team","Team Management","Create a new Microsoft Team with specified settings","Yes"
"Microsoft Teams","Pro","teams-delete-team","Delete Team","Team Management","Permanently delete a Microsoft Team","Yes"
"Microsoft Teams","Pro","teams-add-member","Add Team Member","Team Management","Add a user to a Microsoft Team","Yes"
"Microsoft Teams","Pro","teams-remove-member","Remove Team Member","Team Management","Remove a user from a Microsoft Team","Yes"
"Microsoft Teams","Pro","teams-create-channel","Create Team Channel","Channel Management","Create a new channel in a Microsoft Team","Yes"
"Microsoft Teams","Pro","teams-delete-channel","Delete Team Channel","Channel Management","Delete a channel from a Microsoft Team","Yes"
"Microsoft Teams","Pro","teams-update-settings","Update Team Settings","Team Management","Update team settings like guest permissions and member capabilities","Yes"
"Microsoft Teams","Pro","teams-archive-team","Archive Team","Team Management","Archive a Microsoft Team to make it read-only","Yes"
"Microsoft Teams","Pro","teams-unarchive-team","Unarchive Team","Team Management","Restore an archived Team to active status","Yes"
"Microsoft Teams","Pro","teams-clone-team","Clone Team","Team Management","Create a copy of an existing team with settings and channels","Yes"
"Microsoft Teams","Pro","teams-export-messages","Export Team Messages","Reporting","Export team channel messages for compliance or archival","Yes"
"Microsoft Teams","Pro","teams-create-meeting-policy","Create Teams Meeting Policy","Policy Management","Create a custom meeting policy for controlling meeting features","Yes"
"Microsoft Teams","Pro","teams-assign-policy","Assign Policy to User","Policy Management","Assign a Teams policy to a specific user","Yes"
"Microsoft Teams","Pro","teams-bulk-add-members","Bulk Add Members from CSV","Team Management","Add multiple users to a team from a CSV file","Yes"
"Microsoft Teams","Pro","teams-create-private-channel","Create Private Channel","Channel Management","Create a private channel accessible only to specific members","Yes"
"Microsoft Teams","Pro","teams-export-membership","Export Team Membership Report","Reporting","Export detailed membership report for all teams","Yes"
"Microsoft Teams","Pro","teams-export-apps","Export Installed Apps Report","Reporting","Export list of apps installed across all teams","Yes"
"Microsoft Teams","Pro","teams-enable-guest-access","Enable Guest Access Tenant-Wide","Policy Management","Enable or disable guest access for Microsoft Teams organization-wide","Yes"
"Microsoft Teams","Pro","teams-export-call-quality","Export Call Quality Report","Reporting","Export Teams call quality analytics and metrics","Yes"
"Microsoft Teams","Pro","teams-create-shared-channel","Create Shared Channel","Channel Management","Create a shared channel that can be accessed across teams","Yes"
"Microsoft Teams","Pro","teams-update-team-picture","Update Team Picture","Team Management","Update the profile picture for a Microsoft Team","Yes"
"Microsoft Teams","Pro","teams-export-inactive-teams","Export Inactive Teams Report","Reporting","Identify and export teams with no recent activity","Yes"
"Microsoft Teams","Pro","teams-configure-retention-policy","Configure Message Retention Policy","Policy Management","Set retention policies for Teams messages","Yes"
"Microsoft Teams","Pro","teams-bulk-delete-teams","Bulk Delete Teams from CSV","Team Management","Delete multiple teams listed in a CSV file","Yes"
"Microsoft Teams","Pro","teams-export-team-settings","Export All Team Settings","Reporting","Export comprehensive settings for all teams","Yes"
"Microsoft Teams","Pro","teams-configure-meeting-policies","Configure Teams Meeting Policies","Common Admin Tasks","Configure meeting policy settings including lobby, recording, and transcription","Yes"
"Microsoft Teams","Pro","teams-manage-app-policies","Manage Teams App Policies","Common Admin Tasks","Configure app permissions, blocked apps, and pinned apps for users","Yes"
"Microsoft Teams","Pro","teams-export-chat-messages","Export Teams Chat and Channel Messages","Common Admin Tasks","Export Teams messages for compliance, eDiscovery, and archival purposes","Yes"
"Microsoft Teams","Pro","teams-configure-calling-policies","Configure Teams Calling Policies","Common Admin Tasks","Manage voice routing, voicemail, and call forwarding settings","Yes"
"Microsoft Teams","Pro","teams-manage-external-access","Manage Teams External Access Settings","Common Admin Tasks","Configure external domains, guest access, and federation settings","Yes"
"Office 365","Pro","o365-export-licenses","Export License Inventory","Licensing","Export comprehensive report of Office 365 licenses to CSV","Yes"
"Office 365","Pro","o365-export-user-licenses","Export User License Assignments","Licensing","Export detailed user license assignments to CSV","Yes"
"Office 365","Pro","o365-export-service-health","Export Service Health Status","Health Monitoring","Export current Office 365 service health status to CSV","Yes"
"Office 365","Pro","o365-export-admin-roles","Export Admin Role Assignments","Administration","Export Office 365 admin role assignments to CSV","Yes"
"Office 365","Pro","o365-export-domains","Export Tenant Domains","Tenant Configuration","Export list of all domains in the Office 365 tenant to CSV","Yes"
"Office 365","Pro","o365-assign-license","Assign License to User","Licensing","Assign Office 365 licenses to a user","No"
"Office 365","Pro","o365-remove-license","Remove License from User","Licensing","Remove Office 365 license from a user","No"
"Office 365","Pro","o365-bulk-license","Bulk Assign Licenses from CSV","Licensing","Assign licenses to multiple users from CSV file","No"
"Office 365","Pro","o365-export-license-usage","Export License Usage Report","Licensing","Export detailed license allocation and consumption report","No"
"Office 365","Pro","o365-get-unlicensed-users","Export Unlicensed Users","Licensing","Export list of users without any licenses assigned","No"
"Office 365","Pro","o365-disable-user-accounts","Bulk Disable User Accounts","Administration","Disable multiple user accounts from CSV","No"
"Office 365","Pro","o365-list-admin-roles","Export Admin Role Assignments","Administration","Export all administrative role assignments","No"
"Office 365","Pro","o365-assign-admin-role","Assign Admin Role to User","Administration","Assign an administrative role to a user","No"
"Office 365","Pro","o365-remove-admin-role","Remove Admin Role from User","Administration","Remove an administrative role assignment","No"
"Office 365","Pro","o365-enable-mfa","Enable MFA for User","Security","Enable multi-factor authentication for a user","No"
"Office 365","Pro","o365-export-inactive-users","Export Inactive Users Report","Reporting","Export users who have not signed in for specified days","No"
"Office 365","Pro","o365-configure-password-policy","Configure Password Policy","Tenant Configuration","Update tenant password expiration and complexity policies","No"
"Office 365","Pro","o365-add-custom-domain","Add Custom Domain","Tenant Configuration","Add and verify a custom domain to Office 365 tenant","No"
"Office 365","Pro","o365-remove-domain","Remove Custom Domain","Tenant Configuration","Remove a custom domain from Office 365 tenant","No"
"Office 365","Pro","o365-export-sign-in-logs","Export Sign-In Logs","Reporting","Export user sign-in activity logs for security auditing","No"
"Office 365","Pro","o365-block-user","Block User Sign-In","Security","Block a user from signing in to Office 365","No"
"Office 365","Pro","o365-unblock-user","Unblock User Sign-In","Security","Restore access for a blocked user","No"
"Office 365","Pro","o365-reset-password","Reset User Password","Administration","Reset password for a user account","No"
"Office 365","Pro","o365-export-mailbox-sizes","Export Mailbox Size Report","Reporting","Export mailbox storage usage for all users","No"
"Office 365","Pro","o365-export-onedrive-usage","Export OneDrive Usage Report","Reporting","Export OneDrive storage consumption per user","No"
"Office 365","Pro","o365-export-sharepoint-usage","Export SharePoint Usage Report","Reporting","Export SharePoint site storage and activity metrics","No"
"Office 365","Pro","o365-export-teams-usage","Export Teams Usage Report","Reporting","Export Microsoft Teams activity and usage statistics","No"
"Office 365","Pro","o365-export-deleted-users","Export Deleted Users","Reporting","Export list of recently deleted user accounts","No"
"Office 365","Pro","o365-restore-deleted-user","Restore Deleted User","Administration","Restore a recently deleted user account","No"
"Office 365","Pro","o365-configure-audit-logging","Enable Audit Logging","Security","Enable Office 365 unified audit logging","No"
"Office 365","Pro","o365-configure-security-defaults","Configure Security Defaults","Security","Enable or disable Azure AD security defaults for tenant","No"
"Office 365","Pro","o365-disable-legacy-auth","Block Legacy Authentication","Security","Disable legacy authentication protocols tenant-wide","No"
"Office 365","Pro","o365-configure-sharepoint-sharing","Configure SharePoint External Sharing","Tenant Configuration","Set SharePoint and OneDrive external sharing policy","No"
"Office 365","Pro","o365-configure-teams-external-access","Configure Teams External Access","Tenant Configuration","Set Teams federation and external access policies","No"
"Office 365","Pro","o365-configure-teams-meeting-defaults","Configure Teams Meeting Defaults","Tenant Configuration","Set default Teams meeting settings for the tenant","No"
"Office 365","Pro","o365-export-message-center","Export Message Center Posts","Health Monitoring","Export recent Message Center communications and advisories","No"
"Office 365","Pro","o365-export-service-incidents","Export Service Health Incidents","Health Monitoring","Export active and recent service health incidents","No"
"Office 365","Pro","o365-export-mfa-status","Export MFA Enrollment Status","Reporting","Export multi-factor authentication registration status for all users","No"
"Office 365","Pro","o365-user-onboarding-bundle","Complete User Onboarding","User Lifecycle","Automated user provisioning with mailbox, OneDrive, license, and Teams setup","No"
"Office 365","Pro","o365-user-offboarding-bundle","Complete User Offboarding","User Lifecycle","Automated user deprovisioning with mailbox forwarding, OneDrive transfer, and license reclaim","No"
"OneDrive","Pro","onedrive-export-storage-report","Export Storage Usage Report","Storage Management","Export OneDrive storage usage for all users to CSV","Yes"
"OneDrive","Pro","onedrive-export-sharing-report","Export Sharing Activity Report","Sharing & Permissions","Export OneDrive sharing activity to CSV","Yes"
"OneDrive","Pro","onedrive-list-external-shares","List Externally Shared Files","Sharing & Permissions","List all files shared externally from a user OneDrive","Yes"
"OneDrive","Pro","onedrive-export-sync-health","Export OneDrive Sync Health","Sync & Client","Export OneDrive sync client health status to CSV","Yes"
"OneDrive","Pro","onedrive-export-user-inventory","Export OneDrive User Inventory","Reporting","Export list of all OneDrive sites to CSV","Yes"
"OneDrive","Pro","od-set-quota","Set OneDrive Storage Quota","Storage Management","Configure storage quota for a user OneDrive","Yes"
"OneDrive","Pro","od-block-download","Block File Downloads","Sharing & Permissions","Prevent file downloads from OneDrive","Yes"
"OneDrive","Pro","od-enable-versioning","Enable File Versioning","Storage Management","Turn on version history for OneDrive","Yes"
"OneDrive","Pro","od-sharing-link-exp","Set Sharing Link Expiration","Sharing & Permissions","Configure expiration for sharing links","Yes"
"OneDrive","Pro","od-disable-sync","Disable OneDrive Sync","Sync & Client","Prevent syncing for specific OneDrive","Yes"
"OneDrive","Pro","od-external-sharing","Configure External Sharing","Sharing & Permissions","Control external sharing settings","Yes"
"OneDrive","Pro","od-retention-policy","Apply Retention Policy","Storage Management","Set retention policy for OneDrive content","Yes"
"OneDrive","Pro","od-recycle-bin-quota","Set Recycle Bin Quota","Storage Management","Configure recycle bin storage percentage","Yes"
"OneDrive","Pro","od-default-link-type","Set Default Sharing Link","Sharing & Permissions","Configure default link type for sharing","Yes"
"OneDrive","Pro","od-notify-owner","Enable Owner Notifications","Sharing & Permissions","Notify owners of sharing activities","Yes"
"OneDrive","Pro","od-pre-upload-scan","Configure Pre-Upload Scanning","Storage Management","Enable malware scanning before upload","Yes"
"OneDrive","Pro","od-sync-restrictions","Configure Sync Restrictions","Sync & Client","Limit OneDrive sync to managed devices","Yes"
"OneDrive","Pro","od-file-count-report","Export File Count Report","Reporting","Report file counts per OneDrive","Yes"
"OneDrive","Pro","od-shared-links-report","Export Shared Links Report","Reporting","List all sharing links created","Yes"
"OneDrive","Pro","od-storage-trend","Export Storage Trend Report","Reporting","Historical storage usage analysis","Yes"
"OneDrive","Pro","od-access-requests","Enable Access Requests","Sharing & Permissions","Allow users to request access","Yes"
"OneDrive","Pro","od-legacy-auth-block","Block Legacy Authentication","Sync & Client","Disable legacy auth protocols","Yes"
"OneDrive","Pro","od-idle-timeout","Set Idle Session Timeout","Sync & Client","Auto-logout inactive sessions","Yes"
"OneDrive","Pro","od-unmanaged-device-policy","Configure Unmanaged Device Policy","Sync & Client","Control access from unmanaged devices","Yes"
"OneDrive","Pro","od-bulk-delete-sites","Bulk Delete OneDrive Sites","Storage Management","Remove OneDrive sites from CSV list","Yes"
"OneDrive","Pro","od-bulk-set-quota","Bulk Set Storage Quotas","Storage Management","Apply quotas to multiple OneDrives from CSV","Yes"
"OneDrive","Pro","od-permission-inheritance","Break Permission Inheritance","Sharing & Permissions","Stop inheriting permissions from parent","Yes"
"OneDrive","Pro","od-activity-report","Export Activity Report","Reporting","User activity metrics for OneDrive","Yes"
"OneDrive","Pro","od-file-types-block","Block Specific File Types","Storage Management","Prevent upload of certain file extensions","Yes"
"OneDrive","Pro","od-restore-deleted","Restore Deleted OneDrive","Storage Management","Recover recently deleted OneDrive site","Yes"
"OneDrive","Pro","od-configure-sync-restrictions","Configure OneDrive Sync Restrictions","Common Admin Tasks","Block or allow OneDrive sync based on domains and device types for security","Yes"
"OneDrive","Pro","od-manage-default-storage-quota","Manage OneDrive Storage Quotas","Common Admin Tasks","Set default and per-user OneDrive storage limits for capacity management","Yes"
"OneDrive","Pro","od-enable-files-restore","Enable OneDrive Files Restore","Common Admin Tasks","Configure and use Files Restore for ransomware recovery and data protection","Yes"
"OneDrive","Pro","od-configure-retention-policies","Configure OneDrive Retention Policies","Common Admin Tasks","Set retention periods for deleted files and compliance preservation","Yes"
"OneDrive","Pro","od-export-usage-reports","Export OneDrive Usage Reports","Common Admin Tasks","Export comprehensive OneDrive usage including storage, sharing, and sync status","Yes"
"Windows 365","Pro","w365-export-cloud-pcs","Export Cloud PC Inventory","Cloud PC Management","Export list of all Windows 365 Cloud PCs to CSV","Yes"
"Windows 365","Pro","w365-export-provisioning-policies","Export Provisioning Policies","Provisioning","Export Windows 365 provisioning policies to CSV","Yes"
"Windows 365","Pro","w365-export-user-settings","Export User Settings Policies","User Settings","Export Windows 365 user settings policies to CSV","Yes"
"Windows 365","Pro","w365-export-gallery-images","Export Gallery Images","Images","Export Windows 365 gallery images to CSV","Yes"
